"","store_number","Date","FC_Base_Units"
"1",2200,2022-08-28,5742.89638308643
"2",2200,2022-09-04,5240.32898910098
"3",2200,2022-09-11,5193.26211168558
"4",2200,2022-09-18,4912.26097519324
"5",2200,2022-09-25,5140.93553988576
"6",2200,2022-10-02,4922.06469940167
"7",2200,2022-10-09,5412.79850056097
"8",2200,2022-10-16,5274.71574558178
"9",2200,2022-10-23,5416.74072102876
"10",2200,2022-10-30,5632.08438357822
"11",2200,2022-11-06,5140.6679887662
"12",2200,2022-11-13,5398.13742127092
"13",2200,2022-11-20,5510.27377905837
"14",2200,2022-11-27,5922.09274555895
"15",2200,2022-12-04,6015.11518005106
"16",2200,2022-12-11,5650.97216987458
"17",2200,2022-12-18,5606.98813459847
"18",2200,2022-12-25,6128.27467959946
"19",2191,2022-08-28,15662.4484258303
"20",2191,2022-09-04,15277.7167972006
"21",2191,2022-09-11,15413.3015804999
"22",2191,2022-09-18,17947.3233029553
"23",2191,2022-09-25,15748.2064688832
"24",2191,2022-10-02,17910.1622148183
"25",2191,2022-10-09,17934.7727860581
"26",2191,2022-10-16,17407.010849669
"27",2191,2022-10-23,17077.6401582371
"28",2191,2022-10-30,16353.9639714918
"29",2191,2022-11-06,17623.7088053764
"30",2191,2022-11-13,17564.3845563083
"31",2191,2022-11-20,16397.6760570719
"32",2191,2022-11-27,15338.4863583047
"33",2191,2022-12-04,16148.6877178779
"34",2191,2022-12-11,18996.2450154307
"35",2191,2022-12-18,15644.0880691166
"36",2191,2022-12-25,15533.9081934835
"37",2465,2022-08-28,13067.7622807745
"38",2465,2022-09-04,13442.0351272768
"39",2465,2022-09-11,13781.1101053411
"40",2465,2022-09-18,13347.0301617198
"41",2465,2022-09-25,13229.9762424622
"42",2465,2022-10-02,13865.2342234184
"43",2465,2022-10-09,14002.1956515086
"44",2465,2022-10-16,14045.655091783
"45",2465,2022-10-23,13765.5573568535
"46",2465,2022-10-30,13484.0709524688
"47",2465,2022-11-06,13941.1627196779
"48",2465,2022-11-13,13721.4004197139
"49",2465,2022-11-20,13330.1996281717
"50",2465,2022-11-27,12950.1828795683
"51",2465,2022-12-04,14623.4292253386
"52",2465,2022-12-11,14022.0398622965
"53",2465,2022-12-18,13635.1177633244
"54",2465,2022-12-25,13995.6845492879
"55",2500,2022-08-28,20913.0426702937
"56",2500,2022-09-04,21653.505477448
